"","X","display","randomise_blocks","randomise_trials","ANSWER","animation","responseQuestion","Dilemma","DilemmaByContext","Prohibited.act","PDE","PDE.SE_notME","PDE.GE.BE","PDE.noBA","MG.Permissible","TVideo_1","Agent","Context","PBH"
"1",1,"experimentInstructions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,"Trial",NA,1,NA,"Bystander_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","bystander","bystander","Yes","Yes","Yes","Yes","Yes","Yes","Bystander_Trolley_newtimings.mp4","Human","trolley","Yes"
"3",3,"Trial",NA,1,NA,"Footbridge_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","footbridge","footbridge","Yes","No","No","Yes","Yes","No","Footbridge_Trolley_newtimings.mp4","Human","trolley","Yes"
"4",4,"Trial",NA,1,NA,"ExpensiveEquipment_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","expensive equipment","expensive equipment","Yes","No","Yes","No","No","No","ExpensiveEquipment_Trolley_newtimings.mp4","Human","trolley","Yes"
"5",5,"Trial",NA,1,NA,"ImpliedConsent_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","implied consent","implied consent","Yes","Yes","Yes","Yes","Yes","Yes","ImpliedConsent_Trolley_newtimings.mp4","Human","trolley","Yes"
"6",6,"Trial",NA,1,NA,"IntentionalHomicide_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","intentional homicide","intentional homicide","Yes","No","No","Yes","Yes","No","IntentionalHomicide_Trolley_newtimings.mp4","Human","trolley","Yes"
"7",7,"Trial",NA,1,NA,"LoopTrack_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","loop","loop","Yes","No","No","Yes","Yes","No","LoopTrack_Trolley_newtimings.mp4","Human","trolley","Yes"
"8",8,"Trial",NA,1,NA,"ManInFront_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","man-in-front","man-in-front","Yes","Yes","Yes","Yes","Yes","Yes","ManInFront_Trolley_newtimings.mp4","Human","trolley","Yes"
"9",9,"Trial",NA,1,NA,"CostlessRescue_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","costless rescue","costless rescue","No","Yes","Yes","Yes","Yes","Yes","CostlessRescue_Trolley_newtimings.mp4","Human","trolley","No"
"10",10,"Trial",NA,1,NA,"BetterAlternative_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","better alternative","better alternative","Yes","No","Yes","Yes","No","No","BetterAlternative_Trolley_newtimings.mp4","Human","trolley","Yes"
"11",11,"Trial",NA,1,NA,"DisproportionalDeath_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","disproportionate death","disproportionate death","Yes","No","Yes","No","No","No","DisproportionalDeath_Trolley_newtimings.mp4","Human","trolley","Yes"
"12",12,"Trial",NA,1,NA,"DropMan_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","drop man","drop man","Yes","No","No","Yes","Yes","No","DropMan_Trolley_newtimings.mp4","Human","trolley","Yes"
"13",13,"Trial",NA,1,NA,"CollapseBridge_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","collapse bridge","collapse bridge","Yes","Yes","Yes","Yes","Yes","Yes","CollapseBridge_Trolley_newtimings.mp4","Human","trolley","Yes"
"14",14,"Trial",NA,1,NA,"Bystander_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","bystander","bystanderCrane","Yes","Yes","Yes","Yes","Yes","Yes","Bystander_Crane_newtimings.mp4","Human","crane","Yes"
"15",15,"Trial",NA,1,NA,"Footbridge_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","footbridge","footbridgeCrane","Yes","No","No","Yes","Yes","No","Footbridge_Crane_newtimings.mp4","Human","crane","Yes"
"16",16,"Trial",NA,1,NA,"ExpensiveEquipment_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","expensive equipment","expensive equipmentCrane","Yes","No","Yes","No","No","No","ExpensiveEquipment_Crane_newtimings.mp4","Human","crane","Yes"
"17",17,"Trial",NA,1,NA,"Implied_Consent_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","implied consent","implied consentCrane","Yes","Yes","Yes","Yes","Yes","Yes","Implied_Consent_Crane_newtimings.mp4","Human","crane","Yes"
"18",18,"Trial",NA,1,NA,"IntentionalHomicide_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","intentional homicide","intentional homicideCrane","Yes","No","No","Yes","Yes","No","IntentionalHomicide_Crane_newtimings.mp4","Human","crane","Yes"
"19",19,"Trial",NA,1,NA,"LoopTrack_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","loop","loopCrane","Yes","No","No","Yes","Yes","No","LoopTrack_Crane_newtimings.mp4","Human","crane","Yes"
"20",20,"Trial",NA,1,NA,"ManInFront_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","man-in-front","man-in-frontCrane","Yes","Yes","Yes","Yes","Yes","Yes","ManInFront_Crane_newtimings.mp4","Human","crane","Yes"
"21",21,"Trial",NA,1,NA,"CostlessRescue_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","costless rescue","costless rescueCrane","No","Yes","Yes","Yes","Yes","Yes","CostlessRescue_Crane_newtimings.mp4","Human","crane","No"
"22",22,"Trial",NA,1,NA,"BetterAlternative_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","better alternative","better alternativeCrane","Yes","No","Yes","Yes","No","No","BetterAlternative_Crane_newtimings.mp4","Human","crane","Yes"
"23",23,"Trial",NA,1,NA,"DisproportionalDeath_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","disproportionate death","disproportionate deathCrane","Yes","No","Yes","No","No","No","DisproportionalDeath_Crane_newtimings.mp4","Human","crane","Yes"
"24",24,"Trial",NA,1,NA,"DropMan_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","drop man","drop manCrane","Yes","No","No","Yes","Yes","No","DropMan_Crane_newtimings.mp4","Human","crane","Yes"
"25",25,"Trial",NA,1,NA,"CollapseBridge_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","collapse bridge","collapse bridgeCrane","Yes","Yes","Yes","Yes","Yes","Yes","CollapseBridge_Crane_newtimings.mp4","Human","crane","Yes"
"26",26,"Trial",NA,1,NA,"Bystander_PHO_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","BystanderPHO","BystanderPHO","Yes","No","Yes","Yes","Yes","No","Bystander_PHO_Trolley_newtimings.mp4","Human","trolley","Yes"
"27",27,"Trial",NA,1,NA,"Bystander_PHA&O_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","BystanderPHA&O","BystanderPHA&O","Yes","No","No","Yes","Yes","No","Bystander_PHA&O_Trolley_newtimings.mp4","Human","trolley","Yes"
"28",28,"Trial",NA,1,NA,"Footbridge_PHA_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHA","FootbridgePHA","Yes","No","No","Yes","Yes","No","Footbridge_PHA_Trolley_newtimings.mp4","Human","trolley","Yes"
"29",29,"Trial",NA,1,NA,"Footbridge_PHO_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHO","FootbridgePHO","Yes","No","Yes","Yes","Yes","No","Footbridge_PHO_Trolley_newtimings.mp4","Human","trolley","Yes"
"30",30,"Trial",NA,1,NA,"Footbridge_PHA&O_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHA&O","FootbridgePHA&O","Yes","No","No","Yes","Yes","No","Footbridge_PHA&O_Trolley_newtimings.mp4","Human","trolley","Yes"
"31",31,"Trial",NA,1,NA,"ExpensiveRescue_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","ExpensiveRescue","ExpensiveRescue","No","Yes","Yes","Yes","Yes","Yes","ExpensiveRescue_Trolley_newtimings.mp4","Human","trolley","No"
"32",32,"Trial",NA,1,NA,"InexpensiveRescue_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","InexpensiveRescue","InexpensiveRescue","No","Yes","Yes","Yes","Yes","Yes","InexpensiveRescue_Trolley_newtimings.mp4","Human","trolley","No"
"33",33,"Trial",NA,1,NA,"SubstitutedConsent_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","SubstitutedConsent","SubstitutedConsent","Yes","Yes","No","Yes","Yes","Yes","SubstitutedConsent_Trolley_newtimings.mp4","Human","trolley","Yes"
"34",34,"Trial",NA,1,NA,"HypotheticalConsent_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","HypotheticalConsent","HypotheticalConsent","No","No","No","Yes","Yes","Yes","HypotheticalConsent_Trolley_newtimings.mp4","Human","trolley","No"
"35",35,"Trial",NA,1,NA,"SuicidalRescue_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw himself?","SuicidalRescue","SuicidalRescue","Yes","Yes","Yes","Yes","Yes","Yes","SuicidalRescue_Trolley_newtimings.mp4","Human","trolley","Yes"
"36",36,"Trial",NA,1,NA,"EfficientRisk_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","EfficientRisk","EfficientRisk","No","Yes","Yes","Yes","Yes","Yes","EfficientRisk_Trolley_newtimings.mp4","Human","trolley","No"
"37",37,"Trial",NA,1,NA,"InefficientRisk_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","InefficientRisk","InefficientRisk","No","No","Yes","No","Yes","No","InefficientRisk_Trolley_newtimings.mp4","Human","trolley","No"
"38",38,"Trial",NA,1,NA,"DropEquipment_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","DropEquipment","DropEquipment","No","No","No","Yes","Yes","Yes","DropEquipment_Trolley_newtimings.mp4","Human","trolley","No"
"39",39,"Trial",NA,1,NA,"ExpensiveCollapse_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","ExpensiveCollapse","ExpensiveCollapse","No","Yes","Yes","Yes","Yes","Yes","ExpensiveCollapse_Trolley_newtimings.mp4","Human","trolley","No"
"40",40,"Trial",NA,1,NA,"Bystander_PHO_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","BystanderPHO","BystanderPHOCrane","Yes","No","Yes","Yes","Yes","No","Bystander_PHO_Crane_newtimings.mp4","Human","crane","Yes"
"41",41,"Trial",NA,1,NA,"Bystander_PHA&O_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","BystanderPHA&O","BystanderPHA&OCrane","Yes","No","No","Yes","Yes","No","Bystander_PHA&O_Crane_newtimings.mp4","Human","crane","Yes"
"42",42,"Trial",NA,1,NA,"Footbridge_PHA_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHA","FootbridgePHACrane","Yes","No","No","Yes","Yes","No","Footbridge_PHA_Crane_newtimings.mp4","Human","crane","Yes"
"43",43,"Trial",NA,1,NA,"Footbridge_PHO_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHO","FootbridgePHOCrane","Yes","No","Yes","Yes","Yes","No","Footbridge_PHO_Crane_newtimings.mp4","Human","crane","Yes"
"44",44,"Trial",NA,1,NA,"Footbridge_PHA&O_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","FootbridgePHA&O","FootbridgePHA&OCrane","Yes","No","No","Yes","Yes","No","Footbridge_PHA&O_Crane_newtimings.mp4","Human","crane","Yes"
"45",45,"Trial",NA,1,NA,"ExpensiveRescue_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","ExpensiveRescue","ExpensiveRescueCrane","No","Yes","Yes","Yes","Yes","Yes","ExpensiveRescue_Crane_newtimings.mp4","Human","crane","No"
"46",46,"Trial",NA,1,NA,"InexpensiveRescue_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","InexpensiveRescue","InexpensiveRescueCrane","No","Yes","Yes","Yes","Yes","Yes","InexpensiveRescue_Crane_newtimings.mp4","Human","crane","No"
"47",47,"Trial",NA,1,NA,"SubstitutedConsent_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","SubstitutedConsent","SubstitutedConsentCrane","Yes","Yes","No","Yes","Yes","Yes","SubstitutedConsent_Crane_newtimings.mp4","Human","crane","Yes"
"48",48,"Trial",NA,1,NA,"HypotheticalConsent_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","HypotheticalConsent","HypotheticalConsentCrane","No","No","No","Yes","Yes","Yes","HypotheticalConsent_Crane_newtimings.mp4","Human","crane","No"
"49",49,"Trial",NA,1,NA,"SuicidalRescue_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw himself?","SuicidalRescue","SuicidalRescueCrane","Yes","Yes","Yes","Yes","Yes","Yes","SuicidalRescue_Crane_newtimings.mp4","Human","crane","Yes"
"50",50,"Trial",NA,1,NA,"EfficientRisk_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","EfficientRisk","EfficientRiskCrane","No","Yes","Yes","Yes","Yes","Yes","EfficientRisk_Crane_newtimings.mp4","Human","crane","No"
"51",51,"Trial",NA,1,NA,"InefficientRisk_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","InefficientRisk","InefficientRiskCrane","No","No","Yes","No","Yes","No","InefficientRisk_Crane_newtimings.mp4","Human","crane","No"
"52",52,"Trial",NA,1,NA,"DropEquipment_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","DropEquipment","DropEquipmentCrane","No","No","No","Yes","Yes","Yes","DropEquipment_Crane_newtimings.mp4","Human","crane","No"
"53",53,"Trial",NA,1,NA,"ExpensiveCollapse_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","ExpensiveCollapse","ExpensiveCollapseCrane","No","Yes","Yes","Yes","Yes","Yes","ExpensiveCollapse_Crane_newtimings.mp4","Human","crane","No"
"54",54,"Trial",NA,1,NA,"BetterAlternative_DisproportionateCost_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","BetterAlternative_DisproportionateCost_","BetterAlternative_DisproportionateCost_Trolley","Yes","No","Yes","No","No","No","BetterAlternative_DisproportionateCost_Trolley_newtimings.mp4","Human","trolley","Yes"
"55",55,"Trial",NA,1,NA,"Footbridge_Equipment_Save_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","Footbridge_Equipment_Save_","Footbridge_Equipment_Save_Trolley","Yes","No","Yes","No","Yes","No","Footbridge_Equipment_Save_Trolley_newtimings.mp4","Human","trolley","Yes"
"56",56,"Trial",NA,1,NA,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Trolley","No","No","No","No","No","Yes","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Trolley_newtimings.mp4","Human","trolley","No"
"57",57,"Trial",NA,1,NA,"Unprohibted_BetterAlternative_DisproportionateCost_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","Unprohibted_BetterAlternative_DisproportionateCost_","Unprohibted_BetterAlternative_DisproportionateCost_Trolley","No","No","Yes","No","No","Yes","Unprohibted_BetterAlternative_DisproportionateCost_Trolley_newtimings.mp4","Human","trolley","No"
"58",58,"Trial",NA,1,NA,"Unprohibited_BetterAlternative_Equipment_Intended_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","Unprohibted_BetterAlternative_Equipment_Intended_","Unprohibted_BetterAlternative_Equipment_Intended_Trolley","No","No","No","Yes","No","Yes","Unprohibited_BetterAlternative_Equipment_Intended_Trolley_newtimings.mp4","Human","trolley","No"
"59",59,"Trial",NA,1,NA,"Unprohibted_BetterAlternative_Trolley_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","Unprohibted_BetterAlternative_","Unprohibted_BetterAlternative_Trolley","No","No","Yes","Yes","No","Yes","Unprohibted_BetterAlternative_Trolley_newtimings.mp4","Human","trolley","No"
"60",60,"Trial",NA,1,NA,"BetterAlternative_DisproportionateCost_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","BetterAlternative_DisproportionateCost_","BetterAlternative_DisproportionateCost_Crane","Yes","No","Yes","No","No","No","BetterAlternative_DisproportionateCost_Crane_newtimings.mp4","Human","crane","Yes"
"61",61,"Trial",NA,1,NA,"Footbridge_Equipment_Save_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","Footbridge_Equipment_Save_","Footbridge_Equipment_Save_Crane","Yes","No","Yes","No","Yes","No","Footbridge_Equipment_Save_Crane_newtimings.mp4","Human","crane","Yes"
"62",62,"Trial",NA,1,NA,"Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Crane","No","No","No","No","No","Yes","Unprohibited_BetterAlternative_Equipment_Intended_DisproportionateCost_Crane_newtimings.mp4","Human","crane","No"
"63",63,"Trial",NA,1,NA,"Unprohibted_BetterAlternative_DisproportionateCost_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","Unprohibted_BetterAlternative_DisproportionateCost_","Unprohibted_BetterAlternative_DisproportionateCost_Crane","No","No","Yes","No","No","Yes","Unprohibted_BetterAlternative_DisproportionateCost_Crane_newtimings.mp4","Human","crane","No"
"64",64,"Trial",NA,1,NA,"Unprohibted_BetterAlternative_Equipment_Intended_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","Unprohibted_BetterAlternative_Equipment_Intended_","Unprohibted_BetterAlternative_Equipment_Intended_Crane","No","No","No","Yes","No","Yes","Unprohibted_BetterAlternative_Equipment_Intended_Crane_newtimings.mp4","Human","crane","No"
"65",65,"Trial",NA,1,NA,"Unprohibted_BetterAlternative_Crane_newtimings.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to press the button?","Unprohibted_BetterAlternative_","Unprohibted_BetterAlternative_Crane","No","No","Yes","Yes","No","Yes","Unprohibted_BetterAlternative_Crane_newtimings.mp4","Human","crane","No"
"66",66,"Trial",NA,1,NA,"Bystander_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","bystander","bystander","Yes","Yes","Yes","Yes","Yes","Yes","Bystander_Trolley_AI.mp4","AI","trolley","Yes"
"67",67,"Trial",NA,1,NA,"Footbridge_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","footbridge","footbridge","Yes","No","No","Yes","Yes","No","Footbridge_Trolley_AI.mp4","AI","trolley","Yes"
"68",68,"Trial",NA,1,NA,"ExpensiveEquipment_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","expensive equipment","expensive equipment","Yes","No","Yes","No","No","No","ExpensiveEquipment_Trolley_AI.mp4","AI","trolley","Yes"
"69",69,"Trial",NA,1,NA,"ImpliedConsent_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the man?","implied consent","implied consent","Yes","Yes","Yes","Yes","Yes","Yes","ImpliedConsent_Trolley_AI.mp4","AI","trolley","Yes"
"70",70,"Trial",NA,1,NA,"IntentionalHomicide_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","intentional homicide","intentional homicide","Yes","No","No","Yes","Yes","No","IntentionalHomicide_Trolley_AI.mp4","AI","trolley","Yes"
"71",71,"Trial",NA,1,NA,"LoopTrack_Trolley_AI.mp4","<h3> <p style=""text-align: center;""> Is it morally permissible for the agent to throw the switch?","loop","loop","Yes","No","No","Yes","Yes","No","LoopTrack_Trolley_AI.mp4","AI","trolley","Yes"
